name,type,neighborhood
La Porta Est de la Finca Guell,Patrimonio cultural,la Maternitat i Sant Ramon
La plaça del Monestir,Espacios urbanos,Pedralbes
La plaça de Ramon M. Roca i Sastre,Espacios urbanos,la Maternitat i Sant Ramon
La plaça de Pedralbes,Espacios urbanos,Pedralbes
La plaça de la Reina Maria Cristina,Espacios urbanos,Pedralbes
La plaça de la Concordia,Espacios urbanos,les Corts
La Gran Via de Carles III,Espacios urbanos,les Corts
Colonia Castells,Espacios urbanos,les Corts
Colonia Carne,Espacios urbanos,la Maternitat i Sant Ramon
Casa Hurtado,Patrimonio cultural,Pedralbes
Casa Carreras,Patrimonio cultural,Pedralbes
Els Jardins d'Eusebi Guell,Espacios naturales,Pedralbes
El passatge de Xile,Espacios urbanos,la Maternitat i Sant Ramon
El passatge de Tubella,Espacios urbanos,les Corts
Mural Literari Gran Price,Espacios urbanos,la Maternitat i Sant Ramon
El Jardi Vertical,Espacios urbanos,les Corts
El Conjunt Residencial de Les Escales Park,Espacios urbanos,Pedralbes
Torre del Doctor Andreu,Patrimonio cultural,Sant Gervasi - la Bonanova
Fleca Girabal,Patrimonio cultural,Sant Andreu
Torre d'Aigues de Carrasco i Formiguera,Patrimonio cultural,Sarria
Torre Castanyer,Patrimonio cultural,Sant Gervasi - la Bonanova
Places de Joaquim Folguera i Frederic Soler,Espacios urbanos,Sant Gervasi - la Bonanova
La plaça Molina,Espacios urbanos,Sant Gervasi - Galvany
La plaça del Doctor Andreu,Espacios urbanos,Sant Gervasi - la Bonanova
La plaça de la Bonanova,Espacios urbanos,Sant Gervasi - la Bonanova
Fabrica Sanchis,Patrimonio cultural,el Bon Pastor
Passatge de Sant Felip,Espacios urbanos,el Putxet i el Farro
Colonia Busquets,Espacios urbanos,Vallvidrera
Pavello de Radio Barcelona al Parc d'Atraccions del Tibidabo,Patrimonio cultural,Vallvidrera
Museu d'Automats del Tibidabo,Museos,Vallvidrera
Cooperativa La Guardiola Familiar,Patrimonio cultural,Sant Andreu
Cooperativa La Flor de Maig - sucursal num. 7,Patrimonio cultural,la Sagrera
La Torre d'Aigues de Josep Amargos,Patrimonio cultural,Vallvidrera
La plaça de Sarria,Espacios urbanos,Sarria
La Mina Grott,Patrimonio cultural,Vallvidrera
Cooperativa La Confiança Andreuenca,Patrimonio cultural,Sant Andreu
L'Estacio dels FGC de Sarria,Patrimonio cultural,Sarria
Casernes d'Artilleria  de Sant Andreu,Patrimonio cultural,Sant Andreu
Botiga Casa Rusca,Patrimonio cultural,Sant Andreu
El Submari de la Ronda,Patrimonio cultural,Sant Gervasi - la Bonanova
El passeig de Sant Gervasi,Espacios urbanos,Sant Gervasi - la Bonanova
El Farro a traves del carrer Saragossa,Espacios urbanos,el Putxet i el Farro
Cansaladeria Puig,Patrimonio cultural,Sant Andreu
Graneria El Cau de Sarria,Para ir a comprar,Sarria
Ca l'Estruc- Convent de les Germanes de l'Assumpcio,Patrimonio cultural,Sant Andreu
Edifici Alhambra,Patrimonio cultural,Sant Gervasi - Galvany
El camp de la Creu,Espacios urbanos,les Corts
El cami de Finestrelles i el mirador,Espacios urbanos,Pedralbes
El barri de la Merce,Espacios urbanos,Pedralbes
Bar Colombia,Patrimonio cultural,Sant Andreu
L'Aqueducte Palombarum,Patrimonio cultural,Sant Andreu
Antiga Biblioteca Publica de Sant Andreu de Palomar,Patrimonio cultural,Sant Andreu
Casa Fornells,Patrimonio cultural,Sant Gervasi - la Bonanova
Carrer Major de Sarria,Espacios urbanos,Sarria
Carrer Avio Plus Ultra,Espacios urbanos,Sarria
